Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.23     77.95     0.20      256     0.00     0.02  funk2_user_thread_controller__touch_all_protected_alloc_arrays__user_process
  0.22     78.14     0.19  2124129     0.00     0.00  funk2_child_process_handler__handle_child_processes
  0.22     78.33     0.19   863127     0.00     0.00  rbt_node__swap_nodes
  0.22     78.52     0.19        1     0.19    19.44  funk2__main
  0.21     78.70     0.18  1416400     0.00     0.00  funk2_cpu__handle
  0.20     78.87     0.17  2249958     0.00     0.00  funk2_packet__read_valid_new_from_circular_buffer
  0.19     79.03     0.16  5966022     0.00     0.00  funk2_protected_alloc_array__add_protected_alloc_f2ptr
  0.17     79.18     0.15  9309390     0.00     0.00  funk2_garbage_collector_pool__grey_maybe_other_element
  0.17     79.33     0.15  1587485     0.00     0.00  f2__fiber__execute_next_bytecode
  0.16     79.47     0.14  2562660     0.00     0.00  funk2_management_thread__handle_user_threads
  0.16     79.61     0.14  2319982     0.00     0.00  funk2_peer_command_server__flush_command_input_buffer
  0.15     79.74     0.13  4488546     0.00     0.00  buffered_socket__recv_bytes_buffered
  0.15     79.87     0.13  4021639     0.00     0.00  funk2_processor_mutex__raw_user_lock
  0.15     80.00     0.13  1778788     0.00     0.00  funk2_garbage_collector_pool__grey_element
  0.15     80.13     0.13    25192     0.00     0.00  funk2_symbol_hash__lookup_symbol__thread_unsafe
  0.15     80.26     0.13     2890     0.00     0.00  execute_next_bytecodes__helper__fast_loop
  0.14     80.38     0.12  6752926     0.00     0.00  f2traced_array__elt__set__trace_depth
  0.14     80.50     0.12  2312696     0.00     0.00  socket_server__remove_dead_clients
  0.14     80.62     0.12  1597317     0.00     0.00  f2__fiber__increment_pc
  0.14     80.74     0.12  1236193     0.00     0.00  safe_write
  0.13     80.85     0.11  5868111     0.00     0.00  raw__eq
  0.13     80.96     0.11  4864296     0.00     0.00  f2traced_array__elt__set
  0.13     81.07     0.11  3848932     0.00     0.00  funk2_garbage_collector__know_of_protected_f2ptr
  0.13     81.18     0.11  2266404     0.00     0.00  funk2_management_thread__command_list__is_empty
  0.13     81.29     0.11  2256832     0.00     0.00  funk2_packet__peek_read_new_from_circular_buffer
  0.13     81.40     0.11   426553     0.00     0.00  rbt_node__delete_case4
  0.12     81.50     0.10  4892101     0.00     0.00  pfunk2__f2traced_array__elt__set
  0.12     81.60     0.10  2135180     0.00     0.00  raw__array__length
  0.12     81.70     0.10  1279901     0.00     0.00  f2__primobject__new__trace_depth
  0.12     81.80     0.10   999960     0.00     0.00  funk2_garbage_collector_pool__change_used_exp_color
  0.10     81.89     0.09  2551499     0.00     0.00  raw__array__is_type
  0.10     81.98     0.09  1846666     0.00     0.00  funk2_garbage_collector_mutation_buffer__know_of_mutation
  0.10     82.07     0.09  1831449     0.00     0.00  funk2_memorypool__find_splittable_free_block_and_unfree
  0.10     82.16     0.09  1118250     0.00     0.00  f2cons__new__trace_depth
  0.10     82.25     0.09        3     0.03     0.03  funk2_memorypool__change_total_memory_available
  0.09     82.33     0.08      267     0.00     0.09  funk2_user_thread_controller__user_wait_politely
  0.09     82.41     0.08        1     0.08     1.14  funk2_memory__rebuild_memory_info_from_image
  0.08     82.48     0.07  1549803     0.00     0.00  funk2_garbage_collector_protected_f2ptr_buffer__know_of_protected_f2ptr
  0.08     82.55     0.07   528207     0.00     0.00  funk2_garbage_collector_pool__grey_referenced_elements
  0.07     82.61     0.06  2227296     0.00     0.00  funk2_garbage_collector_pool__know_of_used_exp_self_protected_f2ptr
  0.07     82.67     0.06  1813312     0.00     0.00  funk2_memory__funk2_memblock_f2ptr__new_from_pool
  0.07     82.73     0.06  1519918     0.00     0.00  funk2_garbage_collector_pool__know_of_used_exp_other_protected_f2ptr
  0.07     82.79     0.06  1467903     0.00     0.00  funk2_protected_alloc_array__signal_enter_protected_region
  0.07     82.85     0.06  1325605     0.00     0.00  pfunk2__f2traced_array__new
  0.07     82.91     0.06  1305032     0.00     0.00  raw__array__new
  0.07     82.97     0.06  1036065     0.00     0.00  pfunk2__f2integer(int)
  0.07     83.03     0.06   192345     0.00     0.00  f2__stream__try_read_character
  0.07     83.09     0.06       38     0.00     0.00  funk2_user_thread_controller__free_white_exps__signal_execute
  0.06     83.14     0.05  2742313     0.00     0.00  funk2_set__add
  0.06     83.19     0.05  2116125     0.00     0.00  funk2_garbage_collector_pool__know_of_used_exp_self_mutation
  0.06     83.24     0.05  1591563     0.00     0.00  funk2_garbage_collector__signal_enter_protected_region
  0.06     83.29     0.05  1449264     0.00     0.00  funk2_garbage_collector_pool__signal_enter_protected_region
  0.06     83.34     0.05  1119799     0.00     0.00  f2cons__new
  0.06     83.39     0.05   926138     0.00     0.00  raw__symbol__is_type
  0.06     83.44     0.05   733507     0.00     0.00  raw__cause__is_type
  0.06     83.49     0.05   660221     0.00     0.00  raw__array__elt__trace_depth
  0.06     83.54     0.05   620276     0.00     0.00  raw__stream__is_type
  0.06     83.59     0.05   555367     0.00     0.00  raw__symbol__eq
  0.06     83.64     0.05   102687     0.00     0.00  f2__environment__lookup_type_var_value
  0.06     83.69     0.05    58007     0.00     0.00  f2__ptypehash__add
  0.06     83.74     0.05    11197     0.00     0.00  f2processor__execute_next_bytecodes
  0.05     83.78     0.04  1989458     0.00     0.00  pfunk2__f2char__ch
  0.05     83.82     0.04  1836821     0.00     0.00  funk2_memorypool__link_funk2_memblock_to_freelist
  0.05     83.86     0.04  1812167     0.00     0.00  funk2_garbage_collector_pool__know_of_used_exp_other_mutation
  0.05     83.90     0.04  1450975     0.00     0.00  funk2_protected_alloc_array__signal_exit_protected_region
  0.05     83.94     0.04  1305227     0.00     0.00  raw__cause__allocate_traced_arrays
  0.05     83.98     0.04   866213     0.00     0.00  safe_read
  0.05     84.02     0.04   538061     0.00     0.00  pfunk2__f2mutex__unlock
  0.05     84.06     0.04   478311     0.00     0.00  raw__eq_hash_value
  0.05     84.10     0.04   413336     0.00     0.00  f2__ptypehash__lookup_keyvalue_pair
  0.05     84.14     0.04   366043     0.00     0.00  raw__exception__is_type
  0.05     84.18     0.04     4986     0.00     0.00  f2__stream__try_read_symbol_list
  0.05     84.22     0.04      218     0.00     0.00  f2__write_pretty
  0.03     84.25     0.03  1988022     0.00     0.00  raw__larva__is_type
  0.03     84.28     0.03  1984583     0.00     0.00  f2char__ch
  0.03     84.31     0.03  1868003     0.00     0.00  funk2_tricolor_set__add_element
  0.03     84.34     0.03  1862918     0.00     0.00  funk2_garbage_collector_pool__add_used_exp
  0.03     84.37     0.03  1825818     0.00     0.00  funk2_memory__find_or_create_free_splittable_funk2_memblock_and_unfree
  0.03     84.40     0.03  1809986     0.00     0.00  funk2_garbage_collector_block_header__init
  0.03     84.43     0.03  1034613     0.00     0.00  f2integer(int)
  0.03     84.46     0.03  1001237     0.00     0.00  funk2_set__remove_and_add_to
  0.03     84.49     0.03   822544     0.00     0.00  pfunk2__f2simple_array__elt
  0.03     84.52     0.03   821311     0.00     0.00  pfunk2__f2simple_array__length
  0.03     84.55     0.03   537607     0.00     0.00  f2mutex__unlock
  0.03     84.58     0.03   352623     0.00     0.00  f2__fiber__bytecode__push
  0.03     84.61     0.03   236943     0.00     0.00  f2__frame__lookup_type_var_value
  0.03     84.64     0.03   121243     0.00     0.00  f2__fiber__bytecode__push__args_reg
  0.03     84.67     0.03    98699     0.00     0.00  f2bytecode__new__trace_depth
  0.03     84.70     0.03    98552     0.00     0.00  f2__stream__rewind
  0.03     84.73     0.03    33718     0.00     0.00  raw__simple_length
  0.03     84.76     0.03     3655     0.00     0.00  funk2_garbage_collector_other_grey_buffer__flush_other_greys
  0.03     84.79     0.03      293     0.00     0.00  funk2_garbage_collector_mutation_buffer__flush_mutation_knowledge_to_gc_pool
  0.03     84.82     0.03       73     0.00     0.00  funk2_user_thread_controller__blacken_grey_nodes__signal_execute
  0.03     84.85     0.03       37     0.00     0.00  funk2_user_thread_controller__touch_all_protected_alloc_arrays__signal_execute
  0.02     84.87     0.02  2852829     0.00     0.00  f2__malloc
  0.02     84.89     0.02  1835417     0.00     0.00  funk2_garbage_collector_pool__add_protected_alloc_f2ptr
  0.02     84.91     0.02  1743103     0.00     0.00  funk2_tricolor_set__remove_element
  0.02     84.93     0.02  1555962     0.00     0.00  funk2_garbage_collector__know_of_no_more_references
  0.02     84.95     0.02  1458825     0.00     0.00  funk2_garbage_collector__signal_exit_protected_region
  0.02     84.97     0.02  1175926     0.00     0.00  funk2_garbage_collector_other_grey_buffer__know_of_other_grey
  0.02     84.99     0.02   817747     0.00     0.00  f2simple_array__length
  0.02     85.01     0.02   519802     0.00     0.00  funk2_garbage_collector_pool__blacken_grey_nodes__helper
  0.02     85.03     0.02   387477     0.00     0.00  ptype_integer__new
  0.02     85.05     0.02   379045     0.00     0.00  raw__cons__is_type
  0.02     85.07     0.02   378871     0.00     0.00  funk2_garbage_collector_pool__know_of_used_exp_self_no_more_references
  0.02     85.09     0.02   351104     0.00     0.00  f2__compile__bytecode__push
  0.02     85.11     0.02   198444     0.00     0.00  raw__environment__is_type
  0.02     85.13     0.02   184849     0.00     0.00  f2__fiber__bytecode__copy
  0.02     85.15     0.02   123224     0.00     0.00  f2__fiber__bytecode__swap__value_reg__iter_reg
  0.02     85.17     0.02   101315     0.00     0.00  f2__fiber__bytecode__cons
  0.02     85.19     0.02   100857     0.00     0.00  f2__fiber__bytecode__car__set
  0.02     85.21     0.02    99367     0.00     0.00  f2__stream__ungetc
  0.02     85.23     0.02    99110     0.00     0.00  rbt_node__delete_case5
  0.02     85.25     0.02    93550     0.00     0.00  f2__fiber__stack__push_iter
  0.02     85.27     0.02    93284     0.00     0.00  f2__file_stream__try_ungetcless_read_character
  0.02     85.29     0.02    93042     0.00     0.00  f2__list_cdr__set
  0.02     85.31     0.02    83625     0.00     0.00  ptype_char__new
  0.02     85.33     0.02    68447     0.00     0.00  raw__ptypehash__is_type
  0.02     85.35     0.02    40051     0.00     0.00  f2__fiber__bytecode__copy__iter_reg__args_reg
  0.02     85.37     0.02    30398     0.00     0.00  f2ptypehash__new__trace_depth
  0.02     85.39     0.02    27293     0.00     0.00  pfunk2__f2symbol__new
  0.02     85.41     0.02    12592     0.00     0.00  f2__fiber__bytecode(char, double, long double)
  0.02     85.43     0.02     6659     0.00     0.00  f2__compile__cons
  0.02     85.45     0.02     1939     0.00     0.00  f2__compile__eval_args
  0.02     85.47     0.02      437     0.00     0.00  funk2_user_thread_controller__grey_from_other_nodes__user_process
  0.02     85.49     0.02      295     0.00     0.00  funk2_garbage_collector_protected_f2ptr_buffer__flush_protected_f2ptr_knowledge_to_gc_pool
  0.02     85.51     0.02       40     0.00     0.01  funk2_memorypool__total_used_memory
  0.02     85.53     0.02       36     0.00     0.00  funk2_symbol_hash__touch_all_symbols
  0.02     85.55     0.02       16     0.00     0.00  funk2_user_thread_controller__wait_for_all_user_threads_to_wait
  0.01     85.56     0.01  1075982     0.00     0.00  ptype_mutex__m
  0.01     85.57     0.01   890012     0.00     0.00  rbt_node__delete_case1
  0.01     85.58     0.01   731562     0.00     0.00  f2traced_array__elt__trace_depth
  0.01     85.59     0.01   710186     0.00     0.00  pfunk2__f2symbol__length
  0.01     85.60     0.01   708276     0.00     0.00  f2symbol__length
  0.01     85.61     0.01   494409     0.00     0.00  f2mutex__lock
  0.01     85.62     0.01   469901     0.00     0.00  pfunk2__f2symbol__eq_hash_value
  0.01     85.63     0.01   441948     0.00     0.00  f2bool__new
  0.01     85.64     0.01   412608     0.00     0.00  raw__integer__is_type
  0.01     85.65     0.01   239046     0.00     0.00  raw__char__is_type
  0.01     85.66     0.01   188844     0.00     0.00  raw__file_stream__is_type
  0.01     85.67     0.01   184070     0.00     0.00  f2__compile__bytecode__copy
  0.01     85.68     0.01   125216     0.00     0.00  f2__fiber__bytecode__swap
  0.01     85.69     0.01   124653     0.00     0.00  f2__compile__bytecode__swap
  0.01     85.70     0.01   115030     0.00     0.00  funk2_garbage_collector__touch_f2ptr
  0.01     85.71     0.01   110096     0.00     0.00  f2__fiber__stack__push_args
  0.01     85.72     0.01   103673     0.00     0.00  f2__fiber__bytecode__pop__iter_reg
  0.01     85.73     0.01   103352     0.00     0.00  f2__fiber__bytecode__pop__args_reg
  0.01     85.74     0.01    93587     0.00     0.00  f2__fiber__stack__pop_args
  0.01     85.75     0.01    93509     0.00     0.00  read_nonblocking
  0.01     85.76     0.01    88229     0.00     0.00  f2char__new
  0.01     85.77     0.01    87299     0.00     0.00  f2__fiber__bytecode__copy__iter_reg__value_reg
  0.01     85.78     0.01    84960     0.00     0.00  raw__char__is_whitespace
  0.01     85.79     0.01    64292     0.00     0.00  raw__cfunk__is_type
  0.01     85.80     0.01    60080     0.00     0.00  raw__char__is_symbolizable
  0.01     85.81     0.01    55972     0.00     0.00  raw__funk__is_type
  0.01     85.82     0.01    52802     0.00     0.00  f2__ptypehash__lookup
  0.01     85.83     0.01    43227     0.00     0.00  f2__fiber__stack__push_env
  0.01     85.84     0.01    43069     0.00     0.00  f2__fiber__stack__pop_return_reg
  0.01     85.85     0.01    40831     0.00     0.00  f2__fiber__bytecode_helper__jump_funk__no_increment_pc_reg
  0.01     85.86     0.01    34392     0.00     0.00  f2__frame__add_type_var_value
  0.01     85.87     0.01    31447     0.00     0.00  raw__ptypehash__new
  0.01     85.88     0.01    30138     0.00     0.00  f2ptypehash__new
  0.01     85.89     0.01    29825     0.00     0.00  f2pointer( *)
  0.01     85.90     0.01    26720     0.00     0.00  f2__fiber__bytecode__else_jump
  0.01     85.91     0.01    15551     0.00     0.00  f2frame__new
  0.01     85.92     0.01    15293     0.00     0.00  f2environment__new
  0.01     85.93     0.01    13043     0.00     0.00  f2__is_compile_special_symbol
  0.01     85.94     0.01    12682     0.00     0.00  f2__fiber__bytecode__copy__value_reg__iter_reg
  0.01     85.95     0.01    11065     0.00     0.00  f2__stream__try_read_first_non_whitespace_character
  0.01     85.96     0.01    10807     0.00     0.00  f2__stream__read
  0.01     85.97     0.01    10084     0.00     0.00  f2__demetropolize_once
  0.01     85.98     0.01     8533     0.00     0.00  f2__stream__try_read_list
  0.01     85.99     0.01     7105     0.00     0.00  pcfunk__cons__new
  0.01     86.00     0.01     5506     0.00     0.00  f2__stream__try_read_array
  0.01     86.01     0.01     5502     0.00     0.00  f2__compile__copy_iter_to_value
  0.01     86.02     0.01     5367     0.00     0.00  f2__stream__try_read_symbol_quote
  0.01     86.03     0.01     4353     0.00     0.00  f2funk__new
  0.01     86.04     0.01     3968     0.00     0.00  f2__ansi__stream__reset
  0.01     86.05     0.01      498     0.00     0.04  funk2_garbage_collector_pool__blacken_grey_nodes
  0.01     86.06     0.01       24     0.00     0.01  funk2_set__load_from_stream
  0.01     86.07     0.01        8     0.00     0.10  funk2_garbage_collector_pool__save_to_stream
  0.01     86.08     0.01        1     0.01     0.01  f2compound_object__primobject_type__new
  0.01     86.09     0.01                             __udivdi3
  0.01     86.10     0.01                             processor__start_routine
  0.00     86.10     0.00  1747866     0.00     0.00  funk2_set__remove
  0.00     86.10     0.00  1421121     0.00     0.00  funk2_garbage_collector_pool__signal_exit_protected_region
  0.00     86.10     0.00  1318586     0.00     0.00  f2traced_array__new
  0.00     86.10     0.00  1000620     0.00     0.00  funk2_tricolor_set__change_element_color
  0.00     86.10     0.00   866213     0.00     0.00  raw_read
  0.00     86.10     0.00   819530     0.00     0.00  f2simple_array__elt
  0.00     86.10     0.00   494619     0.00     0.00  pfunk2__f2mutex__lock
  0.00     86.10     0.00   469816     0.00     0.00  f2symbol__eq_hash_value
  0.00     86.10     0.00   469460     0.00     0.00  raw__symbol__eq_hash_value
  0.00     86.10     0.00   436650     0.00     0.00  f2__symbol__eq
  0.00     86.10     0.00   425852     0.00     0.00  pfunk2__f2integer__new
  0.00     86.10     0.00   423661     0.00     0.00  f2integer__new
  0.00     86.10     0.00   352245     0.00     0.00  f2__fiber__bytecode__pop
  0.00     86.10     0.00   351265     0.00     0.00  f2__compile__bytecode__pop
  0.00     86.10     0.00   179313     0.00     0.00  funk2_set__element_count
  0.00     86.10     0.00   178804     0.00     0.00  funk2_tricolor_set__grey_set__element_count
  0.00     86.10     0.00   103458     0.00     0.00  f2__fiber__bytecode__push__iter_reg
  0.00     86.10     0.00    99066     0.00     0.00  f2bytecode__new
  0.00     86.10     0.00    98583     0.00     0.00  rbt_node__delete_case6
  0.00     86.10     0.00    96658     0.00     0.00  pfunk2__f2symbol__str_copy
  0.00     86.10     0.00    96344     0.00     0.00  f2symbol__str_copy
  0.00     86.10     0.00    93341     0.00     0.00  f2__fiber__stack__pop_iter
  0.00     86.10     0.00    90256     0.00     0.00  pfunk2__f2char__new
  0.00     86.10     0.00    88324     0.00     0.00  funk2_tricolor_set__grey_set__mapc
  0.00     86.10     0.00    84985     0.00     0.00  f2__fiber__bytecode__lookup_type_var
  0.00     86.10     0.00    66639     0.00     0.00  funk2_garbage_collector_no_more_references_buffer__know_of_no_more_references
  0.00     86.10     0.00    65548     0.00     0.00  funk2_garbage_collector_pool__know_of_used_exp_other_no_more_references
  0.00     86.10     0.00    62362     0.00     0.00  f2__fiber__bytecode__cdr__set
  0.00     86.10     0.00    53180     0.00     0.00  f2__compile__bytecode__set
  0.00     86.10     0.00    53146     0.00     0.00  f2__fiber__bytecode__set
  0.00     86.10     0.00    52688     0.00     0.00  f2__fiber__bytecode__set__value_reg
  0.00     86.10     0.00    48899     0.00     0.00  f2__fwrite__raw_char
  0.00     86.10     0.00    47729     0.00     0.00  pfunk2__f2mutex__new
  0.00     86.10     0.00    47721     0.00     0.00  f2__fiber__bytecode__pop__return_reg
  0.00     86.10     0.00    47720     0.00     0.00  f2__fiber__bytecode__pop__env_reg
  0.00     86.10     0.00    47520     0.00     0.00  f2__fiber__bytecode__push__return_reg
  0.00     86.10     0.00    47424     0.00     0.00  f2__fiber__bytecode__push__env_reg
  0.00     86.10     0.00    47049     0.00     0.00  f2mutex__new
  0.00     86.10     0.00    46678     0.00     0.00  funk2_processor_mutex__init
  0.00     86.10     0.00    45050     0.00     0.00  ptype_mutex__new
  0.00     86.10     0.00    44530     0.00     0.00  f2mutex__trylock
  0.00     86.10     0.00    44490     0.00     0.00  pfunk2__f2mutex__trylock
  0.00     86.10     0.00    43553     0.00     0.00  f2__fiber__stack__pop_env
  0.00     86.10     0.00    43403     0.00     0.00  f2__fiber__stack__push_return_reg
  0.00     86.10     0.00    35811     0.00     0.00  f2__fiber__bytecode__pop__nil
  0.00     86.10     0.00    35447     0.00     0.00  raw__cause__call_all_endfunks
  0.00     86.10     0.00    32996     0.00     0.00  f2__fiber__bytecode__funk
  0.00     86.10     0.00    32662     0.00     0.00  f2__fiber__stack__pop_nil
  0.00     86.10     0.00    32316     0.00     0.00  f2__environment__define_type_var_value
  0.00     86.10     0.00    32120     0.00     0.00  f2__fiber__bytecode__define_type_var
  0.00     86.10     0.00    30855     0.00     0.00  f2__fiber__bytecode_helper__funk__no_increment_pc_reg
  0.00     86.10     0.00    29733     0.00     0.00  f2__primobject__new
  0.00     86.10     0.00    29659     0.00     0.00  pfunk2__f2pointer( *)
  0.00     86.10     0.00    29590     0.00     0.00  raw__fiber__is_type
  0.00     86.10     0.00    29519     0.00     0.00  raw__stream__writef
  0.00     86.10     0.00    29013     0.00     0.00  f2__cfunk__apply
  0.00     86.10     0.00    27315     0.00     0.00  f2symbol__new
  0.00     86.10     0.00    26344     0.00     0.00  f2__fiber__bytecode__push__value_reg
  0.00     86.10     0.00    25454     0.00     0.00  funk2_symbol_hash__lookup_or_create_symbol
  0.00     86.10     0.00    25142     0.00     0.00  ptype_symbol__new
  0.00     86.10     0.00    25020     0.00     0.00  funk2_symbol_hash__lookup_or_create_symbol__thread_unsafe
  0.00     86.10     0.00    24153     0.00     0.00  f2__fiber__stack__push_value
  0.00     86.10     0.00    21250     0.00     0.00  raw__metro__is_type
  0.00     86.10     0.00    20950     0.00     0.00  f2__compile__pop
  0.00     86.10     0.00    20763     0.00     0.00  f2__compile__push
  0.00     86.10     0.00    18924     0.00     0.00  f2__fiber__bytecode__car
  0.00     86.10     0.00    18703     0.00     0.00  f2__write__ansi_color
  0.00     86.10     0.00    15593     0.00     0.00  f2__ptypehash__new
  0.00     86.10     0.00    15175     0.00     0.00  f2__fiber__bytecode__copy__args_reg__iter_reg
  0.00     86.10     0.00    15124     0.00     0.00  f2__frame__new
  0.00     86.10     0.00    14894     0.00     0.00  f2__fiber__bytecode__newenv
  0.00     86.10     0.00    14469     0.00     0.00  f2frame__new__raw
  0.00     86.10     0.00    11143     0.00     0.00  f2__stream__try_skip_whitespace
  0.00     86.10     0.00    11076     0.00     0.00  f2__stream__try_read_impossibility
  0.00     86.10     0.00    11027     0.00     0.00  f2__fiber__bytecode__jump_funk
  0.00     86.10     0.00    10380     0.00     0.00  f2(float, long double,...)(...)
  0.00     86.10     0.00     9967     0.00     0.00  f2__fiber__bytecode__copy__return_reg__program_counter_reg
  0.00     86.10     0.00     9748     0.00     0.00  f2__fiber__bytecode__endfunk
  0.00     86.10     0.00     9659     0.00     0.00  raw__ansi__stream__print_code
  0.00     86.10     0.00     9578     0.00     0.00  f2__compile__set
  0.00     86.10     0.00     9571     0.00     0.00  f2__compile__swap
  0.00     86.10     0.00     9545     0.00     0.00  f2__compile__value__set
  0.00     86.10     0.00     9538     0.00     0.00  f2__compile__swap_value_and_iter
  0.00     86.10     0.00     9507     0.00     0.00  f2__compile__copy
  0.00     86.10     0.00     8961     0.00     0.00  initial_cause
  0.00     86.10     0.00     8923     0.00     0.00  raw__compile
